id,gender
Illyrio-Mopatis,male
Jory-Cassel,male
Viserys-Targaryen,male
Mirri-Maz-Duur,female
Jhogo,male
Halder,male
Jeor-Mormont,male
Robert-Baratheon,male
Jaremy-Rykker,male
Robb-Stark,male
Theon-Greyjoy,male
Pypar,male
Pycelle,male
Hallis-Mollen,male
Vayon-Poole,male
Bronn,male
Eddard-Stark,male
Qotho,male
Drogo,male
Arya-Stark,female
Bran-Stark,male
Jon-Snow,male
Syrio-Forel,male
Loras-Tyrell,male
Gared,male
Haggo,male
Aggo,male
Rodrik-Cassel,male
Jhiqui,female
Brynden-Tully,male
Gregor-Clegane,male
Benjen-Stark,male
Alyn,female
Aerys-II-Targaryen,male
Vardis-Egen,male
Walder-Frey,male
Osha,female
Ogo,male
Stannis-Baratheon,male
Jaime-Lannister,male
Mord,male
Cersei-Lannister,female
Todder,male
Jon-Arryn,male
Jeyne-Poole,female
Sandor-Clegane,male
Rickon-Stark,male
Kevan-Lannister,male
Barristan-Selmy,male
Shae,female
Petyr-Baelish,male
Hodor,male
Tyrion-Lannister,male
Will-(prologue),male
Tomard,male
Mycah,male
Alliser-Thorne,male
Samwell-Tarly,male
Joffrey-Baratheon,male
Aemon-Targaryen-(Maester-Aemon),male
Tywin-Lannister,male
Daenerys-Targaryen,female
Catelyn-Stark,female
Irri,female
Renly-Baratheon,male
Lysa-Arryn,female
Mordane,female
Waymar-Royce,male
Lyanna-Stark,female
Doreah,female
Rhaegar-Targaryen,male
Grenn,male
Jorah-Mormont,male
Sansa-Stark,female
Luwin,male
Varys,male
Myrcella-Baratheon,female
Shagga,male
Brandon-Stark,male
