from,to,weight,strength
59,6,13,medium
59,21,34,medium
33,7,12,medium
26,61,11,medium
56,21,32,medium
32,16,11,medium
19,20,14,medium
19,41,12,medium
19,16,30,medium
19,58,39,medium
19,21,37,medium
19,1,12,medium
19,66,39,medium
19,55,18,medium
19,76,13,medium
19,9,15,medium
19,73,104,high
19,22,20,medium
48,41,12,medium
48,16,28,medium
48,64,13,medium
48,7,40,medium
31,21,41,medium
20,62,18,medium
20,16,19,medium
20,51,29,medium
20,21,56,high
20,1,11,medium
20,74,65,high
20,36,12,medium
20,46,32,medium
20,9,112,high
20,7,11,medium
20,10,23,medium
20,52,31,medium
78,16,11,medium
78,50,14,medium
15,52,61,high
15,34,11,medium
29,62,16,medium
62,41,12,medium
62,16,64,high
62,43,11,medium
62,21,14,medium
62,74,14,medium
62,65,33,medium
62,50,22,medium
62,9,49,medium
62,7,22,medium
62,27,25,medium
62,52,49,medium
62,35,13,medium
41,16,69,high
41,39,16,medium
41,58,42,medium
41,50,13,medium
41,7,72,high
41,73,29,medium
41,52,27,medium
41,75,19,medium
61,69,15,medium
61,18,101,high
61,25,12,medium
61,0,24,medium
61,63,25,medium
61,28,26,medium
61,4,17,medium
61,72,75,high
61,3,31,medium
61,17,18,medium
61,7,11,medium
61,2,37,medium
69,63,14,medium
69,28,11,medium
18,0,16,medium
18,72,16,medium
18,3,12,medium
18,37,11,medium
18,17,13,medium
18,2,19,medium
16,39,27,medium
16,58,26,medium
16,43,47,medium
16,21,38,medium
16,1,32,medium
16,23,12,medium
16,74,16,medium
16,68,19,medium
16,65,12,medium
16,66,11,medium
16,50,81,high
16,12,33,medium
16,64,33,medium
16,9,16,medium
16,7,291,high
16,73,34,medium
16,38,18,medium
16,54,15,medium
16,52,21,medium
16,60,18,medium
16,75,61,high
16,14,12,medium
24,67,13,medium
24,53,12,medium
30,45,11,medium
71,21,31,medium
71,11,27,medium
25,17,11,medium
5,21,23,medium
13,9,13,medium
0,2,14,medium
63,28,14,medium
39,58,12,medium
39,7,24,medium
39,45,12,medium
39,52,36,medium
39,60,16,medium
8,6,11,medium
6,21,81,high
6,52,23,medium
44,73,27,medium
58,55,14,medium
58,50,11,medium
58,9,19,medium
58,7,30,medium
58,45,24,medium
58,73,87,high
58,52,13,medium
43,65,12,medium
43,12,11,medium
43,7,32,medium
43,38,13,medium
21,11,45,medium
21,46,11,medium
21,9,53,high
21,7,18,medium
21,57,81,high
21,42,13,medium
21,52,56,high
72,2,15,medium
47,52,15,medium
23,73,14,medium
74,36,16,medium
74,9,20,medium
65,52,25,medium
40,52,20,medium
66,76,12,medium
66,73,43,medium
50,12,14,medium
50,64,12,medium
50,7,30,medium
50,52,11,medium
50,75,29,medium
12,7,26,medium
12,75,17,medium
11,57,11,medium
64,7,42,medium
64,38,19,medium
70,7,22,medium
46,9,20,medium
9,27,15,medium
9,73,13,medium
9,10,37,medium
9,52,11,medium
7,73,26,medium
7,38,21,medium
7,52,18,medium
7,60,13,medium
7,75,36,medium
45,73,23,medium
49,52,12,medium
77,52,17,medium
52,60,40,medium
67,53,18,medium
