title,gender,screentime,node_image_url,id
Illyrio-Mopatis,male,3.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,0
Jory-Cassel,male,6.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,1
Viserys-Targaryen,male,20.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,2
Mirri-Maz-Duur,female,7.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,3
Jhogo,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,4
Halder,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,5
Jeor-Mormont,male,21.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,6
Robert-Baratheon,male,30.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,7
Jaremy-Rykker,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,8
Robb-Stark,male,77.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,9
Theon-Greyjoy,male,123.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,10
Pypar,male,12.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,11
Pycelle,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,12
Hallis-Mollen,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,13
Vayon-Poole,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,14
Bronn,male,64.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,15
Eddard-Stark,male,99.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,16
Qotho,male,5.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,17
Drogo,male,25.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,18
Arya-Stark,female,189.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,19
Bran-Stark,male,86.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,20
Jon-Snow,male,268.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,21
Syrio-Forel,male,7.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,22
Loras-Tyrell,male,33.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,23
Gared,male,2.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,24
Haggo,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,25
Aggo,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,26
Rodrik-Cassel,male,12.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,27
Jhiqui,female,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,28
Brynden-Tully,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,29
Gregor-Clegane,male,17.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,30
Benjen-Stark,male,12.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,31
Alyn,female,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,32
Aerys-II-Targaryen,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,33
Vardis-Egen,male,3.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,34
Walder-Frey,male,15.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,35
Osha,female,29.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,36
Ogo,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,37
Stannis-Baratheon,male,73.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,38
Jaime-Lannister,male,162.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,39
Mord,male,2.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,40
Cersei-Lannister,female,201.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,41
Todder,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,42
Jon-Arryn,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,43
Jeyne-Poole,female,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,44
Sandor-Clegane,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,45
Rickon-Stark,male,12.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,46
Kevan-Lannister,male,8.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,47
Barristan-Selmy,male,37.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,48
Shae,female,47.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,49
Petyr-Baelish,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,50
Hodor,male,29.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,51
Tyrion-Lannister,male,293.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,52
Will-(prologue),male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,53
Tomard,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,54
Mycah,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,55
Alliser-Thorne,male,26.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,56
Samwell-Tarly,male,121.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,57
Joffrey-Baratheon,male,70.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,58
Aemon-Targaryen-(Maester-Aemon),male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,59
Tywin-Lannister,male,78.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,60
Daenerys-Targaryen,female,221.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,61
Catelyn-Stark,female,82.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,62
Irri,female,10.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,63
Renly-Baratheon,male,24.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,64
Lysa-Arryn,female,16.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,65
Mordane,female,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,66
Waymar-Royce,male,2.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,67
Lyanna-Stark,female,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,68
Doreah,female,12.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,69
Rhaegar-Targaryen,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,70
Grenn,male,21.15,https://i.postimg.cc/05HtCgHF/got-logo.jpg,71
Jorah-Mormont,male,117.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,72
Sansa-Stark,female,199.3,https://i.postimg.cc/05HtCgHF/got-logo.jpg,73
Luwin,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,74
Varys,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,75
Myrcella-Baratheon,female,11.45,https://i.postimg.cc/05HtCgHF/got-logo.jpg,76
Shagga,male,5.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,77
Brandon-Stark,male,1.0,https://i.postimg.cc/05HtCgHF/got-logo.jpg,78
